index,Unnamed: 0,content,entity,true_score,new_score,raw_score
1146,38,事实上，早在2017年三季度时，华谊兄弟曾因主投电影《芳华》遭遇改档风波而备受舆论关注，其子公司东阳美拉能否凭借《芳华》等作品完成冯小刚与华谊兄弟之间的业绩承诺更是受到市场热议,华谊兄弟,-1,-1,-1
1164,39,值得注意的是，在这两年，三全食品的营业利润出现亏损，分别为-979.22万元和-5463.75万元,三全食品,-1,-1,-1
1173,40,李志起认为，三全食品和龙凤食品同质化问题严重，特别是在收购初期拖累了三全食品的盈利水平,三全食品,-1,-2,-1
1226,41,整体来看，本轮家电调整除受风格影响外，与近期市场热议的三大分歧也有较大联系：分歧一源于老板电器2017年四季度业绩，分歧二则是中怡康及产业在线的数据矛盾，分歧三在于空调库存接近15年来新高,老板电器,-1,-4,-1
1229,42,老板电器业绩下滑反映一二线与三四线地产走势的分化,老板电器,-1,-1,-1
1232,43,统计显示，经过几年的连续提价，老板电器市场份额从2016年的30%下降到2017年的25%，同样主打高端的方太市场份额也在下降，腾出来的市场则被小米、等性价比品牌占领,老板电器,-1,0,-1
1281,44,平潭发展终止重组是否与华宇公司的股东背景问题有关系，平潭发展在公告中总结原因为，考虑到市场环境发生变化，继续推进上述重组事项面临一定的不确定因素,平潭发展,-1,1,-1
1286,45,此前一直表现突出的华泰证券深圳益田路荣超商务中心营业部此次跌出榜单前十,华泰证券,0,0,-1
1309,46,在全年业绩预增的背景下，频频现身大宗交易的分众传媒股价并未出现大幅下跌,分众传媒,1,-1,-1
1356,47,记者注意到，截至12月14日收盘，粤泰股份的股价为6.84元/股，较此前定增价格下跌了约50%,粤泰股份,-1,-1,-1
1361,48,同样，*ST天成也没有详细解释终止此次定向的细节原因，但有一点值得注意，按照*ST天成原定的定增方案，拟以9.78元/股的价格向控股股东银河天成集团有限公司非公开发行股票不超过84907433股，然而*ST天成最新的市场价格仅为4.92元/股，与定增价格出现严重倒挂,ST天成,-1,-1,-1
1377,49,中美贸易战的实质是全球政治经济再平衡背景下，在位霸权国家压制新兴大国，特别是打压中国高科技,中国高科,0,0,0
1452,50,当天，机构参与龙虎榜中个股共涉及7只个股，其中仅生意宝被机构净买入，金额为858.57万元,生意宝,1,-1,-1
1461,51,民生银行北京分行航天桥支行行长张颖涉嫌伪造产品，以“转让”理财产品方式套取高净值客户资金，涉案金额或达30亿元(详见4月18日《上百私银客户买了“假”理财民生航天桥支行行长涉案》、4月19日《民生银行“假”理财案追踪：涉及非私银客户涉事员工称不知产品有问题》).三名收款人地址一致据多名投资者提供的资料和《理财转让协议》显示，投资者购买的是“二手”理财产品，购买的资金直接转到了转让方个人账户,民生银行,-1,-3,-1
1467,52,又有两名理财经理被带走据了解，民生银行航天桥支行虚假理财产品事件曝光时，该支行两名理财经理李×慧和王×雨，正带领一个约25人的私人银行客户旅行团在新西兰旅游,民生银行,-1,-1,-1
1497,53,2015年初，大智慧(601519.SH)就曾公告拟作价85亿元收购湘财证券100%股份；然而该计划后因大智慧信息披露违法而被迫终止交易,大智慧,-1,-1,-1
1504,54,根据网友披露资料，上交所在《市场监察警示函》中询问中泰证券：“我部在监控中发现，指定交易在你公司的以下账户(详见附件)在4月17日交易金隅股份股票的过程中，存在高买低卖日内反向交易的异常交易行为,金隅股份,-1,0,-1
1555,55,2017年，安凯客车的资产减值损失为2.33亿，与上年同期相比上涨了26.44%,安凯客车,-1,0,-1
1629,56,A股投资者最关心的内容自然是有关乐视网，向来以直爽敢言著称的孙宏斌今天又金句频出——如何看对乐视网的投资孙宏斌承认，乐视网是一个失败的投资，165亿都亏损，计提为零了，这不是壮士断臂，而是断头了,乐视网,-1,-1,-1
1634,57,期间曝出，乐视网遭遇债务危机，而公司实控人贾跃亭也只身赴美继续完成造车大业，只留下“下周回国”的空话，若不是同为山西老乡的“白衣骑士”孙宏斌带着165亿元来“接盘”，或许乐视网早就走上了破产退市的道路上了,乐视网,-1,-1,-1
1637,58,不过，随着时间推移，解决乐视网问题越来越困难，孙宏斌对贾跃亭、对乐视网的看好并没有持续下去,乐视网,-1,-2,-1
1640,59,孙宏斌承认投资乐视网失败，作为持股8%的股东无能为力；声明要为融创股东负责，不会继续追加投资乐视；表示乐视网停牌时散户18万、现在暴增至33万，很多散户看好孙宏斌才买入乐视，自己负不起这个责所以辞职；而且以前是董事长很多话不能说，现在卸任了可以和散户一起骂，因为亏得更多,乐视网,-1,-1,-1
1645,60,这成为天润数娱净利润大幅下降的主要原因之一,天润数娱,-1,-1,-1
1651,61,2016年中青宝净利润继续大幅下滑176%，亏损高达近5000万元,中青宝,-1,-3,-1
1670,62,有趣的是，据接近梅雁吉祥的消息人士透露，当时修改三季报是因为工作统计失误，后经恒大方面提醒及时修改,梅雁吉祥,0,-1,-1
1752,63,自2015年底上市以来，通合科技业绩已经持续两年下滑,通合科技,-1,-1,-1
1753,64,*ST坊展次之，累计跌幅48.1%，经过雄安新区概念第一波爆炒后，*ST坊展开始持续震荡下跌至今,ST坊展,-1,-1,-1
1780,65,他提到，融创投了、乐视影业、新乐视智家三家公司，主要是乐视网的投资失败了，投资逻辑是对的，但对乐视网的财务及团队的判断有失误,乐视网,-1,-1,-1
1811,66,万科董事长郁亮表示，房地产主要矛盾不再是短缺，而是不平衡和不充分的问题,万科,0,-1,-1
1841,67,万科物业没有上市计划,万科,0,-1,-1
1899,68,与港股大跌相比，超过58万户中国联通的A股投资者却因为停牌事宜，只能默默承受这一残酷事实,中国联通,-1,-1,-1
1940,69,此前，金盾股份董秘管美丽在接受《证券日报》独家采访时称：周建灿及周纯父子没有实质参与金盾股份的经营,金盾股份,0,-1,-1
2035,70,其中，星石投资对酒鬼酒(000799)进行了减持，从持股时长来看，星石投资持有“酒鬼酒”的时间最长，早在2016年中，星石投资新进为“酒鬼酒”的前十大流通股东名单当中，持有至今已有近两年的时间，而白酒股行情也为星石投资带来可观收益，期间星石投资也在不断波段操作，在2017年二季度酒鬼酒股价从阶段性高点下跌时，星石投资又果断逢低补仓,酒鬼酒,-1,1,-1
2121,71,如果这个时候，国海证券的信用能力受到质疑，借新还旧的债务链出现违约，哪怕是极短极小规模的违约，立即就会引发债主的质疑和恐慌，立即就会导致挤兑和危机,国海证券,-1,-3,-1
2154,72,数据来源：财政部PPP平台，兴业证券经济与金融研究院整理地方政府财政扩张的空间下降,兴业证券,0,-1,-1
2325,73,其中，银行、券商的发行市盈率较低，贵阳银行最低为6倍,贵阳银行,-1,-1,-1
2353,74,计提贷款减值9.6亿坏账风险初露峥嵘伴随着业务规模扩大，2017年，二三四五的坏账风险开始暴露,二三四五,-1,-1,-1
2369,75,或许与军工股整体走弱有关，也或许与其业绩欠佳有关，2017年12月5日海格通信的股价最低触及8.55元，是其自2010年上市以来的历史最低价,海格通信,-1,-1,-1
2434,76,业内有传言洋河股份在发改委会议后或放弃上调出厂价格，但e公司从洋河方面求证获得的回应是：继续执行原定的涨价政策,洋河股份,0,-1,-1
2482,77,其中，江阴银行的不良贷款率最高，达2.39%；宁波银行最低，仅0.82%,宁波银行,1,-1,-1
2542,78,另外，市场还担忧茅台拐点引起五粮液放量压力变大，次高端白酒年报数据普遍低于预期,五粮液,-1,-1,-1
2548,79,2017年7月，中国证监会对欣泰电气欺诈上市一事正式作出行政处罚，并启动强制退市程序，可视为对问题公司的一个政策性强制退市的强烈信号,欣泰电气,-1,-3,-1
2584,80,然而，上市后的第一个季度(2016年第四季度)，博迈科的营收和净利润就双双下滑，幅度分别高达64.64%和56.14%,博迈科,-1,-1,-1
2606,81,1、因牛企入股曾连拉两个涨停板早在今年4月初，就表示，接到控股股东联通集团的通知，联通集团正在筹划并推进开展与混合所有制改革相关的重大事项，而该事项将以中国联通为平台，可能涉及中国联通股份变动，并且宣布中国联通开始停牌,中国联通,0,-1,-1
2609,82,不过，随后中国联通的股价开始下滑，并在10月19日跌至了6.92元，随后股价又开始反弹,中国联通,-1,-2,-1
2611,83,然而，随着最近一周大盘的调整，中国联通的股价也开始下跌，最近6日累计下跌了14.91%，截至今日收盘股价已经跌至了6.96元，这与上述发行价仅差0.13元，如果股价再下跌超过0.13元，那么上述入股企业将被套,中国联通,-1,-2,-1
2694,84,3月14日，神雾环保方面表示，本次违约是因为流动性紧张,神雾环保,-1,-1,-1
2706,85,'（原标题：适度放开人民币汇率波动幅度）\n国泰君安固定收益部董事总经理周文渊北京大学国家发展研究院傅秋子现在市场争论焦点已从人民币要不要贬值演变为的方式，犹如跳水比赛的压水花，“姿势”不对就毫无美感，反而突兀,国泰君安,0,-1,-1
2721,86,据称，增值率为3126.49%的首映时代成立于2010年，之后一直未有股权变更，直至2016年3月顾长卫等股东入局，彼时距离长城影视停牌不足3个月,长城影视,0,-1,-1
2733,87,大连电瓷随即大幅下跌，朱一栋不得不以重大资产重组的名义让股票停牌，致使不少中小投资者最终被套牢,大连电瓷,-1,-1,-1
2735,88,同时，第七个跌停当日成交量明显放大，华仁药业陷入控股股东质押股份平仓抛盘及庄股闪崩的传闻之中,华仁药业,-1,-1,-1
2763,89,扩张并购推高商誉埋隐患恒泰艾普2017年业绩大幅下降的另一重要原因即商誉减值,恒泰艾普,-1,0,-1
2775,90,其中，2013年，罗向阳、罗杨颖在收购青岛海仁投资的内幕信息公开前，利用实际控制的“汪某英”、“杨某玲”、“曹某涛”证券账户买入“东方铁塔”股票，卖出后合计亏损12.6万元,东方铁塔,-1,-1,-1
2784,91,'近日(300216)陷入多事之秋，在经历因信披违法违规被立案调查导致公司实控人股权转让事宜被迫终止、股价持续承压导致大股东质押部分股份跌破平仓线等诸多利空之后，千山药机的定增又遭遇了变数,千山药机,-1,-1,-1
2794,92,不过，耗时一年多，千山药机最终还是放弃了前述计划,千山药机,-1,-1,-1
2803,93,在连续走出两个跌停后，直接导致千山药机大股东刘祥华所质押部分股份陷入跌破平仓线的窘境,千山药机,-1,-1,-1
2813,94,财务数据显示，2015年千山药机实现的营业收入约为5.46亿元，较上年同比下降7.69%，其中千山药机制药装备产品在2015年的营业收入约为2.58亿元，较上年同期下降54.13%，主要是国内经济下行以及部分产品市场需求放缓所致,千山药机,-1,-2,-1
2859,95,五、不良率近五年来首降2017年，工商银行不良率较上年下降0.07个百分点至1.55%,工商银行,1,-1,-1
2878,96,”《等深线》记者从权威渠道独家获悉，金盾股份已被迫卷入至少9起借贷纠纷中，一家机构和多位自然人已将该公司和周建灿个人控制的其他公司共同列为被告一并起诉，杭州市中院及该市拱墅区法院、上城区法院已分别立案,金盾股份,-1,-1,-1
2882,97,此时，王淼根或许并不知道，金盾股份早已卷入“暗保”漩涡中,金盾股份,-1,-1,-1
2935,98,”上述基金经理进一步表示，在家电行业中，白电行业的空调龙头公司是最应被看好的，“格力电器估值低，业绩稳定，机构资金会长期重仓”,格力电器,1,-1,-1
2958,99,”由此可以看到，不同的角度，以及分析周期的长短，这些因素都造成了市场对贵州茅台股价的分歧,贵州茅台,0,-1,-1
3024,100,从2017年度金龙机电的业绩来看，业绩不佳、净利润亏损并不能给此次上市公司控股权转让带来加分，根据金龙机电披露《2017年度业绩快报》，2017年金龙机电营业利润亏损近1.63亿元，较上年同期减少261.33%；利润总额亏损1.34亿元，较上年同期减少197.42%；归属于上市公司股东的净利润亏损1.92亿元，较上年同期减少240.82%,金龙机电,-1,1,-1
3207,101,'近日北京一中院公开开庭审理，因欣泰电气欺诈发行被罚的北京市东易律师事务所(简称“东易所”)因不服证监会270万元的罚没款，将证监会诉至法院，要求撤销行政处罚,欣泰电气,-1,-1,-1
3208,102,欣泰电气欺诈发行连锁反应2011-2014年，持续4年、6期财报，每期虚构收回应收账款7000多万元到近2亿元不等，欣泰电气最终以创业板第一家终止上市公司、国内证券市场第一家欺诈发行退市上市公司的身份，为历史所铭记,欣泰电气,-1,-2,-1
3216,103,此前因为担忧中国银行业资产质量而形成的股价低估值，需要估值修复,中国银行,0,0,-1
3238,104,不过，包括该提案在内的三项临时议案均遭到了新华百货董事会的抵制，董事会拒绝将其提交股东大会审议,新华百货,0,-1,-1
3239,105,应该说，宝银系的提案遭到新华百货董事会的否决，这并不令人奇怪,新华百货,0,-1,-1
3244,106,从2017年新华百货股价的表现来看，虽然没有出现大幅下跌，但这一年新华百货的股价总体还是回落了，意味着这一年宝银系投资新华百货是亏损的,新华百货,-1,-3,-1
3246,107,根据新华百货2017年年报，该公司2017年全年净利润为1.07亿元，一次性派现近10亿元红利，相当于分掉了新华百货10年的利润，这是对新华百货盈利能力的严重透支,新华百货,-1,0,-1
3250,108,因此，宝银系提议的2017年新华百货高派现议案确实存在不妥之处，遭到新华百货董事会的否决并不冤枉,新华百货,0,-2,-1
3274,109,这些定增股份此前曾屡次被媒体提及，因为它们是在乐视网资金链危机爆发前三个月的2016年8月实行非公开的,乐视网,-1,-1,-1
3279,110,这两天，国海证券的那个“萝卜章”还没有看清楚，侨兴债担保函真假案件又出现在我们面前，跟浙商财险打得不可开交,国海证券,-1,-1,-1
3363,111,此外，盛传今年谋求上市的蚂蚁金服概念股也迅速拉升，合肥城建(002208)、(300465)冲击涨停，(600895)跟涨,合肥城建,1,0,-1
3378,112,但截至目前，仅上港集团确认了这一消息,上港集团,0,-1,-1
3383,113,其次，周三走势疲弱，盘中探低1932点，创近十个月以来的新低，其中既有股指修复的因素，也有机构离场、“移情别恋”权重股的因素，还有龙头股、东方财富等持续低迷的影响，但作为市场人气指标，其破位走低反应投资者对未来预期相对谨慎,东方财富,-1,0,-1
3404,114,国开证券孙征指出，创业板市值较大的20家上市公司中，温氏股份上半年业绩预告大幅下降77.86%，预降34.68%，业绩预降30%并预告股东减持，一系列业绩方面的问题令创业板成长股光环褪色,温氏股份,-1,-1,-1
3410,115,从近期市场表现来看，3月份以来，中集集团股价累计下跌2.52%，最新收盘价为18.17元，对应动态市盈率为26.60倍,中集集团,-1,-1,-1
3434,116,从近期市场表现来看，3月份以来，中国交建股价累计下跌5.88%，最新收盘价为12.97元，对应动态市盈率为12.2倍,中国交建,-1,-1,-1
3440,117,从近期市场表现来看，3月份以来，中国中车股价累计下跌1.53%，最新收盘价为10.29元，对应动态市盈率为27.89倍,中国中车,-1,-1,-1
3511,118,今日，华夏幸福股价低开低走，临近午盘股价出现大幅异动，一度跌逾8.5%,华夏幸福,-1,-2,-1
3661,119,”而中国平安常务副总经理兼首席财务官姚波则在公开场合表示，中国平安的市场价值严重低估，希望投资者将中国平安看作是一家经营个人综合金融客户的公司，平安利润应该等于客户数量与每位客户利润的积,中国平安,-1,0,-1
3667,120,作为价值可持续增长的综合金融典范，今年以来，中国平安股价表现格外抢眼，年内股价已经实现翻倍，近一个月内，共有8家机构给予其“买入”评级，4家机构给予其“增持”评级，其中，民生证券表示，公司金融+科技持续发力，保险业务高增长提升龙头价值，维持强烈推荐评级,中国平安,1,-1,-1
3716,121,A股市场从来不乏连续跌停的股票，像乙肝疫苗概念破灭，10个跌停后又开启了新一轮下跌；银广夏业绩造假，15个跌停后又3个跌停……这种例子不胜枚举,银广夏,-1,-2,-1
3721,122,实际上，乐视网的财务大洗澡暗示，公司主事儿的孙宏斌乐于见到股价下跌,乐视网,-1,-1,-1
3733,123,10月31日，根据《财经》的报道，因乐视网IPO财务造假，参与其IPO的多名发审委委员被采取强制措施,乐视网,-1,-1,-1
3743,124,齐星铁塔去年末净利润亏损4842.51万元，同比下降524.76%，报告期内，南非金矿项目仲裁结果减少公司2016年度净利约1亿元，公司控股股东龙跃集团承诺无偿提供全额资金，替公司进行赔付,齐星铁塔,-1,1,-1
3745,125,虽然今年以来齐星铁塔股价小幅下跌，但从2月24日以来，其股价不断拉升，涨幅已经超过15%,齐星铁塔,1,0,-1
3780,126,重庆钢铁的负债率从超过100%下降至60%,重庆钢铁,1,-1,-1
3805,127,值得一提的是，其中仅华泰证券一家就达255.1亿元，为目前券商定增融资规模之最高，而也超过百亿元,华泰证券,1,-1,-1
3859,128,皇台酒业被责令在执行通知书送达之日起7日内偿还400万元借款，并负担案件受理费52344.5元，申请执行费42400元,皇台酒业,-1,-1,-1
3864,129,官司缠身、业绩亏损似乎已经成为皇台酒业难以摆脱的新闻标签,皇台酒业,-1,-2,-1
3874,130,虽然营收有大幅增长，但2017年天润数娱的净利润出现了大幅下跌，净利润仅为909.19万元，同比下降超过八成,天润数娱,-1,0,-1
3875,131,而天润数娱净利润大幅下降的原因有两个，一是公司部分游戏项目尚未达预期，二是公司前次并购重组等费用增加,天润数娱,-1,-1,-1
3919,132,这还不止，在1月19日晚间，山西汾酒公司曾公告称，控股股东汾酒集团正在筹划重大事项，或涉及上市公司股份变动,山西汾酒,0,-1,-1
3923,133,针对以上公告内容是否存在某种关联性，《国际金融报》记者对此向东方基金相关负责人进行采访，其回应称：“关于山西汾酒的提示性公告属于正常业务提示，与公司基金经理的岗位调整无关,山西汾酒,0,-1,-1
3942,134,乐视网近期在停牌9个月后复牌，连续暴跌，连续四日均跌停，且预估将持续有10个以上跌停板,乐视网,-1,-2,-1
3944,135,首先，在去年冬，媒体揭开的一份因乐视网涉嫌IPO造假而被调查的证监会相关人员名单中，最早被带走调查的即发生在2017年7月,乐视网,-1,-2,-1
3974,136,不过，贵州茅台当天股价却大幅下跌4.57%，市值损失达390多亿元，远超其全年利润,贵州茅台,-1,-1,-1
3983,137,另一个贵州茅台的明星拥趸但斌似乎也在减仓,贵州茅台,-1,-1,-1
4011,138,有投资者看高乐视网股价至6元-8元/股，对此，业内人士分析指出，乐视网这样的股票普通投资者目前仍然不宜买入,乐视网,-1,0,-1
4019,139,有分析人士指出，出于风险考量，乐视网这样的股票普通投资者目前仍然不宜买入,乐视网,-1,-1,-1
4026,140,在强大的安保阵容及严格的参会审核机制下，乐视网2018年第一次临时股东大会现场不见前来讨债的供应商、维权的股民和好事的围观者，大会气氛较为轻松,乐视网,0,-1,-1
4031,141,乐视网总经理刘淑青补充道，本次收购的失败不会影响公司内容发展和大屏生态的既定发展方向,乐视网,-1,-1,-1
4106,142,比亚迪今年以来也遭遇机构净卖出2.06亿元，其自2017年一季度开始即陷入了净利润同比下滑的困境中,比亚迪,-1,-1,-1
4185,143,从公司被调研次数来看，金科文化机构来访频繁，调研次数达3次；、等7家公司有2次调研记录,金科文化,1,-1,-1
4228,144,在2017年三季报中，易成新能已对全年度业绩亏损做出预警,易成新能,-1,-1,-1
4278,145,虽然在万科王石时代下的市场争议不少，但不可否认的是，如果没有了万科王石过去三十年打下的坚实根基，那么就没有了当下万科的辉煌，而万科也很难有足够的实力晋升至上市房企第一梯队的地位,万科,-1,-4,-1
4354,146,代表投资：瑞星网安：信息安全整体解决方案的研发、销售及相关增值服务欧索软件：研发以3S、物联网、云计算等前沿技术为基础的大型互联网应用平台和专业行业应用软件科达通信：领先的视讯与安防产品及解决方案提供商，致力于以视频会议、视频监控以及丰富的视频应用解决方案帮助各类政府及企业客户解决可视化沟通与管理难题张江高科注册资本15.49亿，1996年4月在上海证券交易所正式挂牌上市,张江高科,0,-1,-1
4395,147,河钢股份自去年4月12日盘中高点以来已累计下跌40.63%,河钢股份,-1,-1,-1
4435,148,东方天地人和公关公司负责人王晴（化名）向北京商报记者反映，新世界百货崇文门店近三年拖欠该公司活动款200余万元，其中包括创意策划、设计、制作费等169.74万元，活动易货款47.36万元,新世界,-1,-1,-1
4439,149,直到近几年，在新世界百货崇文门店频繁的人员流动下，合同返回的速度越来越慢，活动回款甚至遭到商场方面的拒绝,新世界,-1,-1,-1
4443,150,上述人士表示，新世界百货走合同的流程也颇为复杂，用超过一定数额还需向上海管理公司方面审批,新世界,-1,-2,-1
4453,151,然而实际执行中，新世界方面常常以无法报批、没有档期为由未兑现承诺,新世界,-1,-1,-1
4468,152,按新规退市或开先河业内人士预计，*ST海润最快将于3月9日被强制摘牌,ST海润,-1,-1,-1
4491,153,其中，仅深圳能源的持股比例就高达14.11%，为长城证券的第二大股东,深圳能源,0,-1,-1
4499,154,事实上，奥飞娱乐的业绩“变脸”并非突发意外,奥飞娱乐,-1,-1,-1
4553,155,大型券商的投行收入亦遭遇滑坡，第一财经统计，中信证券、、等龙头券商经纪业务收入均有所下滑，降幅几乎在两成以上,中信证券,-1,-1,-1
4555,156,受自营拖累，太平洋、、等券商业绩表现欠佳,太平洋,-1,0,-1
4593,157,此前，汤臣倍健2016年公司业绩遭遇上市以来的大滑坡，通过业务的整合与结构性调整，电商领域的发力，2017年公司打了一场翻身仗,汤臣倍健,-1,0,-1
4646,158,“虽然今天涨停了，但从目前已有的消息层面长期来看，(ST)保千里的投资价值基本可以说没有,保千里,-1,-1,-1
4713,159,”不过对方透露，目前乐视网内部资金压力仍旧很大,乐视网,-1,-1,-1
4717,160,”孙宏斌在近日接受媒体采访时也指出，目前乐视网极度缺乏资金，已经资不抵债,乐视网,-1,-2,-1
4724,161,”同时，孙宏斌强调，新乐视文娱(原乐视影业)和新乐视智家(原乐视致新)依然在推进相关工作，但无论新乐视文娱和新乐视智家未来的经营前景如何，都与乐视网没有太大关系，不会对乐视网的经营形成正面影响,乐视网,0,-1,-1
4728,162,目前乐视网的问题并不缺解决方法，缺的是达成各方共识的方案,乐视网,-1,0,-1
4782,163,宗良否认了这一说法，他告诉中新社国是直通车记者，从国际水平来看，中国银行业利息差处于中游水平，并不存在所谓利差大导致利润高的问题,中国银行,0,0,0
4793,164,最典型的是*ST华菱，去年四季度下跌9.39%，但今年来即便经历了1月下旬A股大幅调整，截至昨日涨幅也达到23.43%,ST华菱,1,-1,-1
4808,165,截至7月31日收盘，万科A报23.37元，已较7月18日收盘价下跌7.63%,万科,-1,-1,-1
4828,166,目前，中邮基金旗下持有尔康制药的基金产品净值下跌严重，持有尔康制药股份最多的中邮战略新兴产业混合基金近四个交易日净值累计下跌5.17%,尔康制药,-1,-2,-1
4884,167,茅台或只是个缩影贵州茅台这么好的业绩为啥还跌呢,贵州茅台,-1,-1,-1
