,entity,true_score
432,东北证券,0
433,廊坊发展,1
434,宝鹰股份,1
435,金融街,3
436,万科,1
437,浙商证券,0
438,招商银行,2
439,宝钢股份,1
440,申万宏源,0
441,中信证券,0
442,敦煌种业,1
443,大康农业,1
444,农发种业,1
445,新五丰,1
446,朗源股份,1
447,登海种业,1
448,东凌国际,1
449,丰乐种业,1
450,新农开发,1
451,宏辉果蔬,1
452,万向德农,1
453,贵州茅台,0
454,恒瑞医药,-1
455,东北证券,0
456,光大证券,0
457,中国北车,0
458,中国中车,0
459,中国中车股份有限公司,0
460,国轩高科,2
461,万马股份,1
462,金风科技,1
463,久其软件,1
464,登海种业,1
465,国际实业,1
466,比亚迪,0
467,九安医疗,2
468,千山药机,1
469,理邦仪器,1
470,凯利泰,1
471,宝莱特,1
472,乐普医疗,-2
473,ST黑豹,1
474,中国嘉陵,1
475,北纬通信,4
476,誉衡药业,2
477,洲明科技,2
478,建新股份,2
479,红旗连锁,1
480,长城信息,0
481,惠博普,0
482,多氟多,0
483,省广股份,0
484,掌趣科技,0
485,亨通光电,0
486,兴森科技,0
487,凌云股份,0
488,金字火腿,0
489,美的集团,2
490,海康威视,3
491,格力电器,2
492,五粮液,2
493,中国平安,3
494,贵州茅台,2
495,恒瑞医药,1
496,招商银行,2
497,洋河股份,1
498,云南白药,1
499,伊利股份,2
500,京东方,2
501,方正证券,1
502,农业银行,1
503,中国太保,1
504,赣锋锂业,1
505,工商银行,1
506,朗源股份,1
507,皖新传媒,1
508,银河生物,1
509,中南建设,1
510,河钢股份,1
511,兴业银行,1
512,天齐锂业,1
513,万科,2
514,中国铝业,1
515,海康威视,3
516,亿帆医药,2
517,晶盛机电,2
518,中国石油,-2
519,海普瑞,-2
520,美年大健康产业控股股份有限公司,0
521,慈铭体检,-1
522,美年健康,0
523,美的集团,-1
524,格力电器,-1
525,海康威视,2
526,大族激光,1
527,三安光电,2
528,中国平安,0
529,中信证券,0
530,恒瑞医药,1
531,东阿阿胶,1
532,三花智控,1
533,上海机场,1
534,白云机场,1
535,兴业银行,-1
536,青岛海尔,-1
537,伊利股份,-1
538,贵州茅台,-1
539,保利地产,-1
540,当升科技,2
541,新城控股,-1
542,达华智能,4
543,华泰证券,0
544,上峰水泥,1
545,熊猫金控,1
546,欣泰电气,-3
547,广发证券,-1
548,东方证券,0
549,闽灿坤,-2
550,协鑫集成,4
551,中信证券,0
552,华泰证券,1
553,浙商证券,0
554,工商银行,0
555,农业银行,0
556,中信证券,0
557,申万宏源,0
558,方正证券,0
559,招商证券,0
560,华泰证券,0
561,国泰君安,0
562,国金证券,0
563,广发证券,0
564,申万宏源,0
565,招商证券,0
566,海通证券,0
567,中信证券,0
568,国信证券,0
569,中国银河,1
570,中国银河证券股份有限公司,1
571,东方证券,0
572,中国平安,1
573,格力电器,2
574,美的集团,1
575,五粮液,2
576,海康威视,1
577,洋河股份,1
578,东方证券,0
579,中国国旅,2
580,峨眉山,1
581,中青旅,2
582,宋城演艺,2
583,黄山旅游,1
584,凯撒旅游,1
585,锦江股份,1
586,首旅酒店,1
587,华泰证券,0
588,东北证券,0
589,方正证券,0
590,光线传媒,2
591,中国电影,0
592,慈文传媒,3
593,中文传媒,3
594,分众传媒,1
595,浙江鼎力,1
596,晶盛机电,1
597,汤臣倍健,2
598,利尔化学,1
599,洋河股份,0
600,片仔癀,1
601,云南白药,1
602,蓝思科技,-5
603,国信证券,-1
604,凯盛科技,1
605,东旭光电,1
606,万润股份,4
607,彩虹股份,1
608,丹邦科技,2
609,南大光电,2
610,隆华节能,1
611,新纶科技,2
612,濮阳惠成,1
613,长江证券,1
614,永太科技,0
615,浙商证券,-1
616,常熟银行,1
617,无锡银行,1
618,江苏银行,1
619,上海银行,1
620,瑞康医药,1
621,新南洋,3
622,交大昂立,2
623,燕京啤酒,2
624,阳光股份,1
625,陕西煤业,2
626,隆基股份,1
627,登云股份,1
628,药石科技,0
629,金洲管道,-1
630,中元股份,-1
631,积成电子,-1
632,鹏辉能源,-1
633,真视通,-1
634,曲美家居,-1
635,华通医药,-1
636,航新科技,-1
637,祥龙电业,-1
638,中设集团,-1
639,绵石投资,-1
640,紫光国芯,1
641,紫光股份,1
642,ST紫学,1
643,文一科技,2
644,山东金泰,1
645,鸿达兴业,0
646,中泰化学,0
647,永辉超市,1
648,中百集团,1
649,大北农,1
650,荃银高科,1
651,乐山电力,1
652,伊利股份,11
653,东方证券,1
654,海康威视,2
655,大华股份,1
656,三安光电,1
657,分众传媒,1
658,申万宏源,5
659,宏源证券,5
660,大连控股,0
661,太极实业,0
662,大智慧,0
663,圆通速递,1
664,韵达股份,1
665,顺丰控股,1
666,申通快递,1
667,美的集团,3
668,格力电器,2
669,海康威视,1
670,招商银行,2
671,京东方,0
672,中国平安,0
673,洋河股份,1
674,贵州茅台,0
675,海能达,1
676,海螺水泥,1
677,大秦铁路,1
678,白云机场,1
679,宝钢股份,1
680,中国建筑,1
681,中国联通,1
682,伊利股份,-1
683,浙商证券,1
684,青岛海尔,1
685,小天鹅,1
686,西部证券,0
687,中国建筑,3
688,鞍钢股份,-4
689,金融街,-1
690,中兴通讯,-1
691,常宝股份,0
692,中国石油,1
693,海油工程,1
694,小商品城,1
695,三聚环保,1
696,福瑞股份,2
697,广生堂,3
698,富春环保,1
699,华兰生物,1
700,三爱富,1
701,南京高科,1
702,方大炭素,6
703,大丰实业,1
704,先达股份,1
705,顶点软件,1
706,中国平安,1
707,贵州茅台,-1
708,兴业银行,-1
709,东方网力,2
710,华联股份,1
711,中金黄金,1
712,昆仑万维,1
713,联络互动,1
714,永安行,0
715,三泰控股,1
716,启明星辰,1
717,旋极信息,1
718,光韵达,-1
719,沪电股份,-2
720,巨力索具,0
721,神农基因,1
722,键桥通讯,0
723,顺丰控股,1
724,共进股份,0
725,多伦科技,0
726,乐视网,-10
727,ST保千里,-1
728,保千里,-2
729,先导智能,5
730,洋河股份,-5
731,华谊兄弟,-1
732,腾信股份,0
733,腾邦国际,0
734,新世界,0
735,申通快递,-2
736,国轩高科,1
737,杉杉股份,1
738,江苏国泰,1
739,天赐材料,1
740,长园集团,1
741,粤水电,1
742,中国石化,2
743,内蒙华电,1
744,中信证券,1
745,中国重工,1
746,大秦铁路,1
747,保利地产,1
748,金发科技,1
749,中天科技,1
750,大众交通,2
751,威海广泰,1
752,通光线缆,1
753,中信重工,1
754,索菲亚,1
755,探路者,0
756,国泰君安,1
757,宏磊股份,4
758,科大国创,0
759,万科,2
760,东旭光电,1
761,天润数娱,2
762,金路集团,1
763,贵州百灵,2
764,九安医疗,2
765,恒康医疗,2
766,博思软件,1
767,我武生物,1
768,华泰证券,4
769,汇金股份,1
770,扬杰科技,0
771,天赐材料,-1
772,众信旅游,1
773,纽威股份,-1
774,思美传媒,2
775,奥赛康,-1
776,全信股份,1
777,滨江集团,1
778,拓邦股份,1
779,永安林业,1
780,远望谷,1
781,东方锆业,1
782,申通地铁,2
783,启明星辰,1
784,立思辰,1
785,网宿科技,1
786,绿盟科技,1
787,中信证券,0
788,申万宏源,0
789,招商证券,0
790,联诚精密,3
791,科创信息,1
792,伊戈尔,1
793,润都股份,1
794,智慧农业,1
795,光大证券,1
796,当代明诚,1
797,浙江医药,2
798,华东重机,1
799,围海股份,1
800,帝龙新材,0
801,浙江帝龙新材料股份有限公司,0
802,格力电器,1
803,神雾节能,-1
804,雅百特,-3
805,山东墨龙,-3
806,鞍重股份,-2
807,西南证券,-1
808,ST佳电,-2
809,阿继电器,0
810,尔康制药,-4
811,ST成城,-2
812,登云股份,-1
813,ST昆机,-4
814,金亚科技,-2
815,ST烯碳,-4
816,ST慧球,-1
817,广西慧球科技股份有限公司,-1
818,匹凸匹,-1
819,民生银行,7
820,酒鬼酒,-1
821,五粮液,1
822,张裕,-1
823,贵州茅台,3
824,中原证券,0
825,吉祥航空,1
826,春秋航空,1
827,江苏有线,1
828,中文在线,1
829,天健集团,0
830,中洲控股,0
831,深圳能源,1
832,深赛格,1
833,新华网,0
834,视觉中国,0
835,宁波韵升,0
836,同花顺,1
837,丽珠集团,1
838,梅泰诺,1
839,科恒股份,1
840,精测电子,2
841,中顺洁柔,1
842,恒华科技,1
843,木林森,1
844,东方国信,-1
845,紫光国芯,-1
846,汇冠股份,-1
847,大族激光,0
848,网宿科技,-1
849,海能达,1
850,荣盛发展,1
851,天齐锂业,1
852,五粮液,1
853,万科,0
854,海康威视,3
855,三花智控,1
856,分众传媒,1
857,方正证券,0
858,先河环保,1
859,棕榈园林,1
860,鸿利光电,2
861,安洁科技,1
862,光韵达,2
863,华灿光电,1
864,天马,1
865,古越龙山,0
866,厦门钨业,1
867,广晟有色,1
868,盛和资源,1
869,沧州明珠,1
870,科恒股份,1
871,亿纬锂能,1
872,众和股份,1
873,水星家纺,13
874,富安娜,0
875,梦洁家纺,0
876,多喜爱,0
877,东阿阿胶,0
878,千金药业,1
879,汤臣倍健,3
880,福耀玻璃,5
881,华润三九,3
882,赣粤高速,2
883,粤高速,2
884,南京化纤,1
885,兴业银行,0
886,精华制药,7
887,博世科,1
888,小天鹅,1
889,澳洋顺昌,1
890,京威股份,1
891,塔牌集团,1
892,南钢股份,1
893,精达股份,1
894,中国船舶,5
895,外高桥,3
896,新华保险,1
897,中国人寿,1
898,贵州茅台,0
899,永辉超市,0
900,健盛集团,-1
901,杰瑞股份,-2
902,天孚通信,0
903,老板电器,0
904,索菲亚,1
905,中国国旅,1
906,鼎汉技术,1
907,中国北车,1
908,能科股份,-5
909,超讯通信,-4
910,泸天化,-2
911,金发拉比,-3
912,清源股份,-2
913,朗源股份,-1
914,南威软件,-1
915,渤海股份,2
916,东旭蓝天,1
917,创业环保,1
918,鹏鹞环保,1
919,津膜科技,1
920,鹿港文化,1
921,汉威科技,1
922,方大特钢,1
923,万邦达,1
924,碧水源,1
