,entity,true_score,pre_score
213,中国北车,0,0
214,中国中车,1,0
215,泰禾集团,-2,0
216,华侨城,1,1
217,双箭股份,1,1
218,延华智能,1,1
219,银邦股份,1,1
220,中青宝,-1,0
221,绿景控股,-1,0
222,鹏欣资源,0,-1
223,明牌珠宝,2,0
224,海亮股份,2,1
225,青松股份,0,1
226,宁波联合,1,1
227,黔源电力,1,1
228,准油股份,1,1
229,国际实业,1,1
230,金螳螂,-2,-1
231,亚厦股份,1,1
232,青岛双星,1,1
233,鑫科材料,0,1
234,中航飞机,3,1
235,中航机电,3,0
236,中航黑豹,0,0
237,湘电股份,0,0
238,中国动力,0,0
239,内蒙一机,0,0
240,中直股份,0,0
241,京东方,0,1
242,永辉超市,0,0
243,博深工具,1,1
244,沧州大化,-1,0
245,北新建材,1,0
246,云铝股份,1,1
247,焦作万方,1,-1
248,电科院,3,1
249,东吴证券,0,0
250,乐歌股份,1,0
251,香飘飘,-1,0
252,广聚能源,1,0
253,泰山石油,1,-1
254,安控科技,1,1
255,中国石油,0,1
256,中信银行,-1,-1
257,工商银行,-1,-1
258,招商银行,-1,-1
259,中国太保,-1,-1
260,中国平安,-1,-1
261,华微电子,1,1
262,北方华创,1,1
263,福斯特,1,1
264,紫光国芯,1,1
265,兴业证券,0,0
266,美丽生态,-9,1
267,深华新,1,2
268,东软载波,2,1
269,日照港,1,1
270,山东路桥,1,1
271,国泰君安,0,2
272,苏大维格,1,1
273,陕国投,2,1
274,荣之联,1,1
275,千山药机,1,1
276,达安基因,1,1
277,北陆药业,1,1
278,安信信托,1,0
279,龙源技术,0,0
280,正海磁材,0,0
281,鲁信创投,1,0
282,温氏股份,0,1
283,牧原股份,0,1
284,华泰证券,0,0
285,中信国安,2,2
286,天业股份,1,1
287,巨化股份,5,5
288,信维通信,1,1
289,西王食品,1,1
290,上海新阳,7,7
291,华侨城,5,5
292,冠昊生物,2,2
293,泰禾集团,5,5
294,新筑股份,6,6
295,鼎龙股份,4,4
296,宝新能源,1,1
297,中海达,1,1
298,正邦科技,4,4
299,康得新,1,1
300,威海广泰,4,4
301,浙江震元,1,1
302,中国天楹,3,3
303,新日恒力,2,2
304,加加食品,4,4
305,泰和新材,2,2
306,山东地矿,1,1
307,九华旅游,1,1
308,新华百货,1,1
309,三力士,1,1
310,三维丝,1,1
311,中海科技,1,1
312,盛路通信,2,2
313,富安娜,2,2
314,歌尔声学,1,1
315,普利特,1,1
316,元力股份,1,1
317,创业环保,1,0
318,京汉股份,1,1
319,五粮液,1,0
320,水井坊,1,1
321,洋河股份,1,1
322,恒瑞医药,1,0
323,中国平安,1,0
324,招商银行,1,0
325,工商银行,1,0
326,申万宏源,0,1
327,宏源证券,0,0
328,东方证券,0,0
329,东方证券股份有限公司,0,0
330,中信证券,0,0
331,东兴证券,0,0
332,国泰君安,0,0
333,国泰君安证券股份有限公司,0,0
334,海通证券,0,0
335,安彩高科,1,1
336,江粉磁材,0,1
337,安信信托,0,-1
338,陕国投,0,0
339,万华化学,0,0
340,复星医药,0,0
341,歌尔股份,0,0
342,正海磁材,-1,0
343,九阳股份,-3,0
344,首商股份,-1,-1
345,沪电股份,1,1
346,上峰水泥,1,1
347,天地科技,1,1
348,大豪科技,1,2
349,棕榈股份,3,3
350,洛阳钼业,3,2
351,塔牌集团,3,2
352,碧水源,1,0
353,蓝色光标,1,1
354,华谊兄弟,1,1
355,长信科技,0,0
356,苏交科,1,1
357,江苏舜天,2,2
358,江苏舜天股份有限公司,0,1
359,用友网络,3,1
360,普路通,2,1
361,海虹控股,1,0
362,兆易创新,1,1
363,招商银行,2,0
364,中国平安,1,0
365,中国太保,1,0
366,新华保险,1,0
367,万科,1,0
368,比亚迪,1,0
369,保利地产,1,0
370,金圆股份,1,0
371,分众传媒,2,0
372,海康威视,1,0
373,光线传媒,1,0
374,中国国旅,1,0
375,五粮液,2,0
376,格力电器,1,0
377,伊利股份,1,0
378,科士达,1,0
379,日机密封,1,0
380,浙江鼎力,1,0
381,天赐材料,1,0
382,腾邦国际,1,1
383,丹邦科技,1,1
384,大智慧,0,0
385,东湖高新,5,2
386,华鑫股份,1,1
387,沙河股份,3,2
388,朗科科技,2,0
389,祥龙电业,1,0
390,仰帆控股,3,2
391,威尔泰,2,1
392,西藏旅游,1,0
393,万科,1,0
394,韶能股份,1,1
395,国农科技,2,2
396,新华百货,2,1
397,凤竹纺织,1,1
398,有研新材,2,1
399,新世界,1,1
400,天宸股份,1,1
401,兴业证券,0,0
402,万华化学,4,1
403,潮宏基,4,0
404,红太阳,2,-1
405,烽火通信,2,0
406,伊之密,-1,0
407,网宿科技,4,2
408,信维通信,-1,-1
409,中信证券,9,7
410,天兴仪表,2,1
411,长江证券,2,1
412,天鹅股份,1,1
413,国泰君安,0,1
414,华泰证券,0,0
415,阳谷华泰,0,0
416,文科园林,0,1
417,西部证券,0,0
418,孚日股份,0,0
419,金龙汽车,-1,0
420,祥龙电业,-1,1
421,中国天楹,-1,-1
422,步长制药,0,0
423,印纪传媒,0,0
424,中科曙光,0,0
425,贝达药业,0,0
426,云铝股份,0,0
427,海洋王,0,0
428,雪莱特,-1,1
429,联建光电,-1,1
430,京东方,0,0
431,方正证券,0,0
432,东北证券,0,-1
433,廊坊发展,1,1
434,宝鹰股份,1,1
435,金融街,3,2
436,万科,1,0
437,浙商证券,0,0
438,招商银行,2,1
439,宝钢股份,1,1
440,申万宏源,0,0
442,敦煌种业,1,1
443,大康农业,1,1
444,农发种业,1,1
445,新五丰,1,1
446,朗源股份,1,1
447,登海种业,1,1
448,东凌国际,1,1
449,丰乐种业,1,1
450,新农开发,1,1
451,宏辉果蔬,1,1
452,万向德农,1,1
453,贵州茅台,0,0
454,恒瑞医药,-1,-1
455,东北证券,0,0
456,光大证券,0,0
457,中国北车,0,0
458,中国中车,0,0
459,中国中车股份有限公司,0,0
460,国轩高科,2,2
461,万马股份,1,0
462,金风科技,1,1
463,久其软件,1,1
464,登海种业,1,1
465,国际实业,1,1
466,比亚迪,0,1
467,九安医疗,2,2
468,千山药机,1,1
469,理邦仪器,1,1
470,凯利泰,1,1
471,宝莱特,1,1
472,乐普医疗,-2,0
473,ST黑豹,1,1
474,中国嘉陵,1,1
475,北纬通信,4,2
476,誉衡药业,2,0
477,洲明科技,2,1
478,建新股份,2,1
479,红旗连锁,1,1
480,长城信息,0,0
481,惠博普,0,0
482,多氟多,0,0
483,省广股份,0,0
484,掌趣科技,0,0
485,亨通光电,0,0
486,兴森科技,0,0
487,凌云股份,0,0
488,金字火腿,0,0
489,美的集团,2,2
490,海康威视,3,2
491,格力电器,2,2
492,五粮液,2,1
493,中国平安,3,2
494,贵州茅台,2,2
495,恒瑞医药,1,1
496,招商银行,2,1
497,洋河股份,1,1
498,云南白药,1,1
499,伊利股份,2,2
500,京东方,2,1
501,方正证券,1,1
502,农业银行,1,-1
503,中国太保,1,-1
504,赣锋锂业,1,-1
505,工商银行,1,0
506,朗源股份,1,0
507,皖新传媒,1,0
508,银河生物,1,0
509,中南建设,1,0
510,河钢股份,1,0
511,兴业银行,1,0
512,天齐锂业,1,0
513,万科,2,1
514,中国铝业,1,0
515,海康威视,3,2
516,亿帆医药,2,2
517,晶盛机电,2,2
518,中国石油,-2,-1
519,海普瑞,-2,0
520,美年大健康产业控股股份有限公司,0,0
521,慈铭体检,-1,0
522,美年健康,0,0
523,美的集团,-1,-1
524,格力电器,-1,-1
525,海康威视,2,1
526,大族激光,1,1
527,三安光电,2,1
528,中国平安,0,0
529,中信证券,0,0
530,恒瑞医药,1,1
531,东阿阿胶,1,1
532,三花智控,1,1
533,上海机场,1,1
534,白云机场,1,1
535,兴业银行,-1,-1
536,青岛海尔,-1,-1
537,伊利股份,-1,-1
538,贵州茅台,-1,-1
539,保利地产,-1,-1
540,当升科技,2,2
541,新城控股,-1,-1
542,达华智能,4,2
543,华泰证券,0,0
544,上峰水泥,1,0
545,熊猫金控,1,0
546,欣泰电气,-3,-1
547,广发证券,-1,0
548,东方证券,0,-1
549,闽灿坤,-2,-1
550,协鑫集成,4,2
551,中信证券,0,0
552,华泰证券,1,0
553,浙商证券,0,0
554,工商银行,0,0
555,农业银行,0,0
556,中信证券,0,0
557,申万宏源,0,-1
558,方正证券,0,0
559,招商证券,0,0
560,华泰证券,0,0
561,国泰君安,0,0
562,国金证券,0,0
563,广发证券,0,0
564,申万宏源,0,0
565,招商证券,0,0
566,海通证券,0,0
567,中信证券,0,0
568,国信证券,0,0
569,中国银河,1,0
570,中国银河证券股份有限公司,1,0
571,东方证券,0,0
572,中国平安,1,1
573,格力电器,2,2
574,美的集团,1,1
575,五粮液,2,2
576,海康威视,1,1
577,洋河股份,1,1
578,东方证券,0,0
579,中国国旅,2,2
580,峨眉山,1,1
581,中青旅,2,2
582,宋城演艺,2,2
583,黄山旅游,1,1
584,凯撒旅游,1,1
585,锦江股份,1,1
586,首旅酒店,1,1
590,光线传媒,2,0
591,中国电影,0,0
592,慈文传媒,3,1
593,中文传媒,3,2
594,分众传媒,1,0
595,浙江鼎力,1,1
596,晶盛机电,1,1
597,汤臣倍健,2,1
598,利尔化学,1,0
599,洋河股份,0,0
600,片仔癀,1,0
601,云南白药,1,0
602,蓝思科技,-5,1
603,国信证券,-1,-1
604,凯盛科技,1,1
605,东旭光电,1,1
606,万润股份,4,4
607,彩虹股份,1,0
608,丹邦科技,2,2
609,南大光电,2,2
610,隆华节能,1,1
611,新纶科技,2,2
612,濮阳惠成,1,1
613,长江证券,1,0
614,永太科技,0,1
615,浙商证券,-1,0
616,常熟银行,1,1
617,无锡银行,1,1
618,江苏银行,1,1
619,上海银行,1,0
620,瑞康医药,1,1
621,新南洋,3,2
622,交大昂立,2,-1
623,燕京啤酒,2,0
624,阳光股份,1,0
625,陕西煤业,2,0
626,隆基股份,1,1
627,登云股份,1,1
628,药石科技,0,1
629,金洲管道,-1,-1
630,中元股份,-1,-1
631,积成电子,-1,-1
632,鹏辉能源,-1,-1
633,真视通,-1,-1
634,曲美家居,-1,-1
635,华通医药,-1,-1
636,航新科技,-1,-1
637,祥龙电业,-1,0
638,中设集团,-1,0
639,绵石投资,-1,0
640,紫光国芯,1,1
641,紫光股份,1,1
642,ST紫学,1,1
643,文一科技,2,2
644,山东金泰,1,1
645,鸿达兴业,0,1
646,中泰化学,0,0
647,永辉超市,1,1
648,中百集团,1,1
649,大北农,1,1
650,荃银高科,1,1
651,乐山电力,1,1
652,伊利股份,11,6
653,东方证券,1,1
654,海康威视,2,1
655,大华股份,1,0
656,三安光电,1,0
657,分众传媒,1,0
658,申万宏源,5,0
659,宏源证券,5,0
660,大连控股,0,0
661,太极实业,0,0
662,大智慧,0,0
663,圆通速递,1,1
664,韵达股份,1,1
665,顺丰控股,1,0
666,申通快递,1,1
667,美的集团,3,3
668,格力电器,2,2
669,海康威视,1,1
670,招商银行,2,2
671,京东方,0,0
672,中国平安,0,0
673,洋河股份,1,1
674,贵州茅台,0,0
675,海能达,1,1
676,海螺水泥,1,1
677,大秦铁路,1,1
678,白云机场,1,1
679,宝钢股份,1,1
680,中国建筑,1,1
681,中国联通,1,1
682,伊利股份,-1,-1
683,浙商证券,1,1
684,青岛海尔,1,1
685,小天鹅,1,1
686,西部证券,0,0
687,中国建筑,3,2
688,鞍钢股份,-4,0
689,金融街,-1,1
690,中兴通讯,-1,0
691,常宝股份,0,1
692,中国石油,1,1
693,海油工程,1,1
694,小商品城,1,1
695,三聚环保,1,0
696,福瑞股份,2,1
697,广生堂,3,1
698,富春环保,1,0
699,华兰生物,1,0
700,三爱富,1,1
701,南京高科,1,2
702,方大炭素,6,2
703,大丰实业,1,0
704,先达股份,1,0
705,顶点软件,1,0
706,中国平安,1,0
707,贵州茅台,-1,-1
708,兴业银行,-1,1
709,东方网力,2,1
710,华联股份,1,1
711,中金黄金,1,1
712,昆仑万维,1,1
713,联络互动,1,1
714,永安行,0,1
715,三泰控股,1,1
716,启明星辰,1,0
717,旋极信息,1,0
718,光韵达,-1,1
719,沪电股份,-2,0
720,巨力索具,0,0
721,神农基因,1,0
722,键桥通讯,0,1
723,顺丰控股,1,0
724,共进股份,0,0
725,多伦科技,0,0
726,乐视网,-10,0
727,ST保千里,-1,0
728,保千里,-2,-1
729,先导智能,5,3
730,洋河股份,-5,-3
731,华谊兄弟,-1,0
732,腾信股份,0,0
733,腾邦国际,0,0
734,新世界,0,0
735,申通快递,-2,0
736,国轩高科,1,0
737,杉杉股份,1,2
738,江苏国泰,1,2
739,天赐材料,1,2
740,长园集团,1,1
741,粤水电,1,0
742,中国石化,2,0
743,内蒙华电,1,3
744,中信证券,1,1
745,中国重工,1,1
746,大秦铁路,1,0
747,保利地产,1,0
748,金发科技,1,0
749,中天科技,1,1
750,大众交通,2,1
751,威海广泰,1,0
752,通光线缆,1,0
753,中信重工,1,0
754,索菲亚,1,0
755,探路者,0,0
756,国泰君安,1,1
757,宏磊股份,4,1
758,科大国创,0,0
759,万科,2,1
760,东旭光电,1,0
761,天润数娱,2,0
762,金路集团,1,0
763,贵州百灵,2,1
764,九安医疗,2,1
765,恒康医疗,2,1
766,博思软件,1,1
767,我武生物,1,-1
768,华泰证券,4,4
769,汇金股份,1,2
770,扬杰科技,0,1
771,天赐材料,-1,1
772,众信旅游,1,2
773,纽威股份,-1,1
774,思美传媒,2,1
775,奥赛康,-1,0
776,全信股份,1,0
777,滨江集团,1,0
778,拓邦股份,1,1
779,永安林业,1,1
780,远望谷,1,0
781,东方锆业,1,0
782,申通地铁,2,0
783,启明星辰,1,1
784,立思辰,1,1
785,网宿科技,1,1
786,绿盟科技,1,1
787,中信证券,0,0
788,申万宏源,0,0
790,联诚精密,3,1
791,科创信息,1,1
792,伊戈尔,1,1
793,润都股份,1,1
794,智慧农业,1,1
795,光大证券,1,1
796,当代明诚,1,1
797,浙江医药,2,1
798,华东重机,1,1
799,围海股份,1,1
800,帝龙新材,0,0
801,浙江帝龙新材料股份有限公司,0,0
802,格力电器,1,1
803,神雾节能,-1,-1
804,雅百特,-3,1
805,山东墨龙,-3,0
806,鞍重股份,-2,1
807,西南证券,-1,-1
808,ST佳电,-2,0
809,阿继电器,0,0
810,尔康制药,-4,1
811,ST成城,-2,0
812,登云股份,-1,0
813,ST昆机,-4,0
814,金亚科技,-2,0
815,ST烯碳,-4,-1
816,ST慧球,-1,0
817,广西慧球科技股份有限公司,-1,0
818,匹凸匹,-1,-1
819,民生银行,7,7
820,酒鬼酒,-1,-1
821,五粮液,1,-1
822,张裕,-1,-3
823,贵州茅台,3,2
824,中原证券,0,0
825,吉祥航空,1,1
826,春秋航空,1,0
827,江苏有线,1,1
828,中文在线,1,1
829,天健集团,0,0
830,中洲控股,0,0
831,深圳能源,1,1
832,深赛格,1,0
833,新华网,0,0
834,视觉中国,0,0
835,宁波韵升,0,0
836,同花顺,1,1
837,丽珠集团,1,1
838,梅泰诺,1,1
839,科恒股份,1,1
840,精测电子,2,1
841,中顺洁柔,1,1
842,恒华科技,1,1
843,木林森,1,1
844,东方国信,-1,0
845,紫光国芯,-1,-1
846,汇冠股份,-1,-1
847,大族激光,0,2
848,网宿科技,-1,1
849,海能达,1,1
850,荣盛发展,1,1
851,天齐锂业,1,1
852,五粮液,1,2
853,万科,0,1
854,海康威视,3,2
855,三花智控,1,1
856,分众传媒,1,1
857,方正证券,0,0
858,先河环保,1,1
859,棕榈园林,1,1
860,鸿利光电,2,0
861,安洁科技,1,-1
862,光韵达,2,-1
863,华灿光电,1,1
864,天马,1,0
865,古越龙山,0,0
866,厦门钨业,1,1
867,广晟有色,1,1
868,盛和资源,1,1
869,沧州明珠,1,1
870,科恒股份,1,1
871,亿纬锂能,1,1
872,众和股份,1,1
873,水星家纺,13,13
874,富安娜,0,0
875,梦洁家纺,0,0
876,多喜爱,0,0
877,东阿阿胶,0,1
878,千金药业,1,0
879,汤臣倍健,3,2
880,福耀玻璃,5,2
881,华润三九,3,1
882,赣粤高速,2,1
883,粤高速,2,1
884,南京化纤,1,1
885,兴业银行,0,0
886,精华制药,7,4
887,博世科,1,1
888,小天鹅,1,1
889,澳洋顺昌,1,1
890,京威股份,1,1
891,塔牌集团,1,1
892,南钢股份,1,1
893,精达股份,1,0
894,中国船舶,5,2
895,外高桥,3,2
896,新华保险,1,0
897,中国人寿,1,0
898,贵州茅台,0,-1
899,永辉超市,0,1
900,健盛集团,-1,-1
901,杰瑞股份,-2,0
902,天孚通信,0,-1
903,老板电器,0,0
904,索菲亚,1,1
905,中国国旅,1,0
906,鼎汉技术,1,0
907,中国北车,1,0
908,能科股份,-5,-2
909,超讯通信,-4,-2
910,泸天化,-2,-1
911,金发拉比,-3,-2
912,清源股份,-2,-2
913,朗源股份,-1,-1
914,南威软件,-1,-1
915,渤海股份,2,1
916,东旭蓝天,1,0
917,创业环保,1,1
918,鹏鹞环保,1,1
919,津膜科技,1,1
920,鹿港文化,1,1
921,汉威科技,1,1
922,方大特钢,1,1
923,万邦达,1,1
924,碧水源,1,1
