index,sentence,entity,score
23359,'（原标题：波导股份净利下滑50%沦为手机代工厂）\n编者按:随着年报的陆续披露,波导股份,-1
23361,IHSTechnology中国研究总监王阳在与《证券日报》记者交流时表示，波导股份早已沦为手机,波导股份,-1
23362,实际上，波导股份也对自己信心不足,波导股份,-1
23375,随着乐视网高管层面的变动，加之孙宏斌的入局，一直强调生态化反的乐视控股未来发展究竟如何,乐视网,-1
23418,截至11月10日收盘，乐视网股价累计下跌14.17％，收报37.99元，逼近去年股灾时37元的均价水平，乐视网市值752.84亿元，最近两周缩水125.6亿元,乐视网,-1
23429,同比增速来看，暴风科技2016年广告收入增速为25%，落后于全行业43.4%的增速,暴风科技,-1
23433,）\n暴风集团净利下滑近7成，市值蒸发约300亿；旗下主打暴风影音、TV、VR业务遭遇不同困局赶着清明小长假，暴风集团CEO开始他的闭关之旅,暴风集团,-1
23443,暴风集团将净利润大幅下滑归为三方面原因,暴风集团,-1
23461,他还提到了一个更引人关注的说法，称深铁集团当时已经为入股万科方案失败做好第二手准备，即借壳上市,万科,-1
23483,其中，仅暴风集团目前在A股上市,暴风集团,-1
23486,暴风集团依然在亏损，股价也持续下跌,暴风集团,-1
23498,”广州酒家副总经理赵利平则表示，这些问题都是保荐人直接去回复的，过几天等相关批文办好，统一回复媒体,广州酒家,-1
23503,资料显示，广州酒家于2010年开始启动上市进程，2014年6月6日，因负责广州酒家的签字律师跳槽而中止IPO,广州酒家,-1
23575,但是2013-2015年受三公消费影响，茅台、五粮液、1573等高端酒一批价和终端价不断下降，次高端白酒崩盘，空间被大幅压缩，收入占比下降到2.6%,五粮液,-1
23669,六个月后，时任三五互联证券事务代表的谢荣钦宣布辞职，上述职务因此长期空缺,三五互联,-1
23680,3月29日，唐德影视上午尾盘便突然大幅杀跌，随后下午开盘不久便触及跌停，全天损失了超8亿元市值,唐德影视,-1
23697,显然，此次更多董事的加入，有望改变中国联通以往的风格，通过压力倒闭中国联通更加市场化，有利于参股企业双向的合作,中国联通,-1
23709,值得一提的是，贝因美2016年已经亏损了7.81亿元，如果2017年继续亏损，将被实施退市风险警示,贝因美,-1
23738,但是10个交易日后，达华智能并没有复牌，而且定增变成了配股,达华智能,-1
23755,此前的8月16日，壹桥海参公告终止重大资产重组，转而与壕鑫互联（北京）网络有限公司（下称“壕鑫互联”）进行资产置换——以部分厂房与存货置换壕鑫互联55%的股权，作价9.9亿元,壹桥海参,-1
23784,也就是说，孙宏斌将在乐视网股价跌到底之后再次启动重组，把乐视网变成一家和贾跃亭完全没有关系的公司,乐视网,-1
23789,二是乐视网广告收入、终端收入及会员收入等业务大幅下滑所致,乐视网,-1
23790,那么什么因素造成了乐视网广告、终端、会员收入大幅下滑,乐视网,-1
23791,乐视网的解释是：乐视网关联方危机持续存在并不断扩大，对乐视网声誉和信用造成了直接影响,乐视网,-1
23793,既然上述因素共同造成了乐视网2017年大幅亏损，那么，这些亏损因素在2018年以后还会持续存在吗,乐视网,-1
23816,上交所认为，*ST天成业绩预报不准确，且更正不及时，违反了信息披露相关规则，对上市公司予以公开谴责处分，对董事长等人予以通报披露,ST天成,-1
23819,“*ST天成及其相关责任人违反了《证券法》规定的信息披露要求，已经构成虚假陈述,ST天成,-1
23844,到了第四季度，天龙光电绷不住了，单季亏损2261.62万元,天龙光电,-1
23854,随着天龙光电业绩“变脸”，机构投资者再次仓皇出逃，前十大流通股东至今难觅机构投资者的身影,天龙光电,-1
23856,生死存亡之际，2014年四季度，天龙光电无奈将子公司江苏中晟46.37%股权转让给控股股东常州诺亚，并称这是“扭亏为盈的唯一方案”，终于保壳成功,天龙光电,-1
23857,随后的2015年和2016年，天龙光电分别亏损3.58亿元和0.57亿元，加上2017年前三季度亏损0.14亿元，天龙光电又站到了退市边缘,天龙光电,-1
23861,保壳几无悬念，主营业务也在好转，但天龙光电的盈利能力和抗风险能力仍然薄弱,天龙光电,-1
23863,前几年创业板公司纷纷通过外延式并购做大做强，而天龙光电的外延式并购显得更为保守,天龙光电,-1
23867,自2017年6月以来，天龙光电市值一直在20亿元以下徘徊；去年12月以来，便长期戴着“A股最小市值公司”的帽子,天龙光电,-1
23869,2016年5月，深交所给予天龙光电、常州诺亚，天龙光电董事周俭、王思远、冯金生公开谴责处分,天龙光电,-1
23870,资本运作方面的束缚让2015年5月18日以来便担任天龙光电董秘的张洪宇感叹“英雄无用武之地”，“来天龙光电做董秘之前，我在上海做投资，这方面经验还算丰富,天龙光电,-1
23892,整理：新京报记者孙旭龙继在微信公众号发文请求证监会命令钜盛华立即清盘7个到期资管计划后，1月31日，万科独董刘姝威再次通过其微信公众号发文《防范金融风险》，质疑宝能延长前述资管计划清算期的合法性与披露程序,万科,-1
23944,2014年10月，獐子岛突然公告称，超百万亩虾夷扇贝“报废”，扇贝“因灾”绝收，造成三季度巨亏8亿多元，此举曾震惊中国资本市场,獐子岛,-1
23952,新华百货董事会拒绝将提案提交股东大会，其理由是《公司章程》关于董事会的任期时间有明确规定，任期三年，本届董事会现正在正常履职期间，任期尚未过半,新华百货,-1
23977,'勤上股份1月15日晚公告，公司于1月15日收到证监会《行政处罚及市场禁入事先告知书》，勤上股份涉嫌的违法事实包括：勤上股份未按照规定及时披露信息、勤上股份披露的信息存在虚假记载,勤上股份,-1
24012,值得注意的是，梅雁吉祥的第一大股东为广州市仲勤投资有限公司，其持有上市公司9490.7532万股，同样占总股本的5%，相比上述仅仅多了32股，故梅雁吉祥的第一大股东位置并没有发生变动，可见上述举牌颇为“精准”,梅雁吉祥,-1
24036,一位TMT行业分析师认为，乐视网应该不至于真的遭遇连续13个跌停板，毕竟乐视网停牌这么久，市场对很多利空因素已经消化得差不多了，不过还是要谨防乐视网业绩暴跌的风险,乐视网,-1
24203,国民技术近期可谓是祸不单行，先是合作伙伴前海旗隆突然失联，后是被证监会立案调查,国民技术,-1
24212,4月18日起，金隅股份连续大跌四天，股价从最高9.08元跌到了最低6.84元，连带着参与该股的短线游资也损失惨重,金隅股份,-1
24213,类似金隅股份的亏损案例，或许成为阻碍大批雄安概念股在第二波行情中有所表现的重要原因,金隅股份,-1
24224,隐瞒关联交易天目药业8月23日公布半年报，实现营业收入8557.47万元，同比下降约四成；净利润亏损63.15万元，同比大降低164.80%,天目药业,-1
24242,益生股份本周下跌34.27%，资料显示，在筹划重组一个月后，益生股份宣布重组告吹,益生股份,-1
24293,1月5日，《华夏时报》记者就广告推广支出占比高以及索菲亚实控人入股小狗电器将带来哪些影响等问题采访小狗电器董秘王勇，截至发稿，记者尚未得到回复,索菲亚,-1
24297,2016年11月25日，证监会披露对恒生网络的处罚决定，没收恒生网络违法所得约1.0986亿元，并处以约3.296亿元罚款；对责任人恒生电子总裁刘曙峰、执行总裁官晓岚给予警告，并分别处以30万元罚款；合计罚款约4.4亿,恒生电子,-1
24303,而且作为上市公司，受此利空影响恒生电子股价大概率下跌，众多中小股东或许将受牵连,恒生电子,-1
24308,经济学家宋清辉对此评价，恒生电子如有意让恒生网络破产，甩下这烂包袱，会让罚款形同虚设，不但给母公司恒生电子品牌形象抹黑，也容易引发后来者的仿效，带来诚信风险,恒生电子,-1
24339,但对于神雾环保控股股东神雾集团而言，近期的麻烦远不止于此,神雾环保,-1
24341,此外，神雾环保股价从2017年7月的32元/股上下一路下跌到2018年1月最低的13.49元/股，受股价不断下跌影响，2018年2月1日，神雾集团所持已质押的股票部分已触及平仓线，存在平仓风险,神雾环保,-1
24366,就账面价值而言，中国银行的股价近来比美国银行（BAC）的股价低27%,中国银行,-1
24462,2月1日晚间公告称，公司实际控制人、董事长俞凌倡议，凡2018年2月2日至2月9日期间净买入的安控科技股票，且连续持有12个月以上并在职的员工，若因在前述期间增持安控科技股票产生亏损，俞凌将以个人资金予以补偿；若有股票增值收益则归员工个人所有,安控科技,-1
24494,不过，两者复牌后股价表现不算太好，分别收出3个、4个涨停，且宝光股份被恒信玺利借壳的预案随后也被终止，但宝光股份目前已再度重启重组,宝光股份,-1
24524,受新能源补贴退坡影响，比亚迪汽车相关产品的毛利率比2016年下降3.93%,比亚迪,-1
24525,由于新能源车补贴政策短期内难以破除地方保护，比亚迪双擎双模的动力模式仍难以摆脱“落户”难的处境,比亚迪,-1
24586,质押风险高涨、上市公司被立案调查、股价大幅下跌，进一步加剧了千山药机的资金链危机，更多债务纠纷开始浮现,千山药机,-1
24594,图：3月以来千山药机及子公司银行账户冻结情况司法冻结还在一轮轮进行，但千山药机的债务违约远没有结束,千山药机,-1
24615,近期，*ST紫学调整重组方案，放弃出售学大教育相关资产,ST紫学,-1
24618,千山药机在2013年年底，因筹划重大资产重组停牌，于4月4日终止该筹划并复牌，并承诺6个月内不再筹划,千山药机,-1
24634,在大面积应收款项回收困难、公司资金流紧张、信用体系已经受损的情况下，即便乐视网股价下跌估值大幅调整，恐怕接盘侠也不敢轻易出手,乐视网,-1
24655,从数据来看，中国南北、中国北车的融券确实已经有所下降，《每日经济新闻》记者看到，1月7日中国南车的融券余额还有2323.59万元，到2月3日就已经下降到了1883.99万元；中国北车的融券余额从1月7日的2116.23万元已经回落到了2月3日的1238.58万元，下降幅度超过41%,中国北车,-1
24695,此外，西藏发展还对马淑芬提起诉讼，要求法院判决马淑芬购买西藏发展流通股5.15%股票的民事行为无效,西藏发展,-1
24699,据了解，今年以来，自然人李勤通过多次举牌，最终持有成都路桥20.06%的股份，但在增持成都路桥股份达到5%及之后每增加5%时，均未依法在规定的期限内停止买入成都路桥股份,成都路桥,-1
24703,如牛散任向敏仅用了七个交易日，将华西股份持股比例提升至5.63%，一举突破举牌线，不过，由于其购买华西股份达到5%时，没有停止操作，继续买入股票，涉嫌违规交易,华西股份,-1
24716,新宏泰本周累计下跌25.24%，跌幅最大,新宏泰,-1
24734,联昌证券分析师郑怀武称，鉴于乐视网财务状况恶化并且股价重挫，，并重申对融创的卖出评级,乐视网,-1
24755,平潭发展终止重组是否与中国华宇的股东背景有关系,平潭发展,-1
24926,海虹控股的股价大幅下跌，中海恒的高额质押率，引发资金链危机，被国风投“趁火打劫”也有可能,海虹控股,-1
24984,除起诉贾跃亭外，西部证券还相应起诉了贾跃民、刘弘、杨丽杰，目前四起诉讼均在受理当中，涉及金额总计为10.19亿元,西部证券,-1
24989,如果不考虑利息，按照创业板一般的预警线160%、平仓线140%来计算，贾跃亭所质押的乐视网股票在跌至18.6元/股（除权后）时或到达质押预警线，跌至16.28元/股（除权后）时或到达质押平仓线,乐视网,-1
24990,根据乐视网的股价走势，乐视网股份在1月24日复牌当天就跌至13.8元/股,乐视网,-1
24991,连续11个跌停中，乐视网股价最低跌至4.01元/股,乐视网,-1
25000,今年1月26日，公告称，对乐视网的质押业务融出资金本金为4亿元，鉴于回购方到期未履行义务，且公司认为截至本公告日乐视网的股价难以反映其公允价值、且有较大不确定性，对该笔股票质押回购计提资产减值准备1.78亿元,乐视网,-1
25111,剔除交易成本和佣金费用，前海人寿投资万科一年来能给投保人带来的收益几乎没有，而作为地产股风向标的万科股价下一步是涨是跌也难以判定,万科,-1
25136,2014年，全聚德营收再次下跌，跌破19亿元,全聚德,-1
25137,市界（ID：newsseeker）注意到，此后3年内，全聚德的营收再也未出现大幅波动感，一直在18亿元上徘徊,全聚德,-1
25138,值得注意的是，2017年是全聚德3年来的首次利润下滑,全聚德,-1
25205,或许，平安银行的转型过于激进，零售贷款业务的快速扩张，存款业务却跟不上，因而不得不提高存款成本来大力揽储,平安银行,-1
25206,此外，平安银行不良贷款也没有明显好转,平安银行,-1
25207,并且2017年10月，监管层开始大力整治“首付贷”，打击消费贷款、信用卡透支流向房市后，平安银行消费贷款增长就大幅下滑,平安银行,-1
25213,或许，平安银行的潜在风险还没有被市场认识到,平安银行,-1
25216,持续的坏账核销，也让平安银行利润难有起色,平安银行,-1
25217,小微企业经营环境改善不大，平安银行不良率偏偏下降了，从2016年1.74%降至2017年1.70%,平安银行,-1
25218,从不良认定偏离率角度看，平安银行不良认定似乎存在瑕疵,平安银行,-1
25265,私募人士分析称，金轮股份股价从40元跌至25元附近，累计跌幅巨大技术上严重超跌，今日展开超跌反弹,金轮股份,-1
25333,如果不是昨天（3月29日）高云翔的丑闻疑云曝出，大家可能不会注意到与他业务关系密切的唐德影视股价暴跌；而如果不是唐德影视股价（300426，SZ）暴跌，可能很多人也没有留意到——范冰冰、赵薇等公司上市之际的明星股东已在十多天前解除了股权限售的“封印”,唐德影视,-1
25359,至于哪些是唐德影视代理的、哪些不是，唐德影视披露的信息中无法明确查到,唐德影视,-1
25366,去年年底，面对每经影视记者“2015年赵薇与公司经纪约到期后，是否已经没有再续约”的问题，唐德影视方面只是反复说，“现在是深度合作关系”“比经纪约明显范畴更广啊,唐德影视,-1
25411,股权质押爆仓一直被认为是乐视网脚底最大的地雷,乐视网,-1
25413,在此前2月23日的股东大会中，有股东就贾跃亭的股权质押爆仓、以及乐视网的信批问题提出疑问,乐视网,-1
25414,当股东继续追问，乐视网没有公告是否意味着贾跃亭质押的股权还没有到平仓线的问题时，赵凯则“暧昧”地回答称，“严格意义上是没有达到需要披露的标准”,乐视网,-1
25421,梅雁吉祥突如其来的股权变化，也遭到交易所闪电问询，在公布权益变动当天上交所即发问询函,梅雁吉祥,-1
25438,马敬忠称造系是媒体博眼球的说法，并对梅雁吉祥管理层和恒大之间存在矛盾的传闻直言“不清楚”，他表示：“不能说股东否决过董事会的议案就说有矛盾吧，对上市公司和中小股东有利的议案，股东当然会支持；如果损害股东利益，股东无论大小都应该否决它,梅雁吉祥,-1
25482,相较于年初的股价，歌华有线仍然下跌16.17%,歌华有线,-1
25515,乐视网董事长孙宏斌没有出席,乐视网,-1
25560,截至发稿，该板块整体跌逾1%，个股三钢闽光跌近5%，跌逾3%，、、跌逾2%,三钢闽光,-1
25567,英洛华的另一系列公告暴露了真相,英洛华,-1
25576,这些增持或新进的公司中，除启明星辰业绩亏损外，其余个股业绩向好,启明星辰,-1
25581,'北京商报讯（记者崔启斌高萍）在公司预计2017年业绩由盈转亏，出现上市以来首次年度亏损之后，汇金股份（300368）又遭遇被控股股东、实控人拟大笔减持的尴尬,汇金股份,-1
25603,可见，对免去陆榴总经理职务一事，鹏博士董事会成员存在一些分歧，但没有妨碍决议结果，大股东对上市公司控制占了优势,鹏博士,-1
25617,对董事会决议免去陆榴总经理职位，鹏博实业方面表示，总经理陆榴负责经营管理后期出现了一定程度的经营决策、管理和内部控制问题，鹏博士业绩增长停滞，股价长期低迷，受到市场投资者特别是中小股东的质疑，更换管理层是为加强管理，提升公司的质量,鹏博士,-1
25683,万科股权之争招致的“野蛮人”话题或可管窥一斑,万科,-1
25697,万科2017年的营业成本总体下降5.69%，主要得益于万科2017年虽然营收几乎没什么增长，但是由于营业成本的下降，导致其营业利润率拉高了5.71个百分点,万科,-1
25713,2015年6月，万科撤销物流地产事业部，成立万纬物流地产发展有限公司，并在住宅和传统商办地产之外，积极拓展消费地产、产业地产，而产业地产的业务重点方向之一就是物流地产,万科,-1
25723,从亏损金额来看，亏损最多的乐视网上半年预亏损最高上限6.4亿元，其次为，最高亏损达到2.27亿元，排名第三的为，最高亏损为9300万元,乐视网,-1
25729,午后，黄金概念股持续走低，截至发稿，山东黄金跌9.35%，、、、、、、等股跌超4%,山东黄金,-1
25748,毋庸置疑，银江股份随即删除了该篇文章,银江股份,-1
25751,这下子一下就搞明白了，原来银江股份发布的文章里提及的技术，原来来自于保全网，与银江股份半毛钱关系都没有，而数牛金服在这个业务中属于“数据端”，并没有提供、形成区块链的技术方案与应用，与此同时这个消息还是2016年的旧闻，再加上银江股份间接持有数牛金服也就7%的股权，这也难怪银江股份后来就这么把这则闪闪发光的公众号文章给删除了,银江股份,-1
25794,统计显示，上证50样本股2016年净利润平均降幅3.29%，此次调入股中，除中国银河业绩下降外，其余4只出现不同程度的增长,中国银河,-1
25802,2014年至2016年，中光防雷营业总收入分别为4.57亿元、3.59亿元和3.16亿元，连续下滑，但2017年达3.64亿元，重回增长轨道,中光防雷,-1
25847,因为乐视网现在已经没有什么资产可卖，而退市则是各方均不愿面对的事,乐视网,-1
25862,此外，随着老板电器的业绩增速下降，内忧外患也逐渐显现,老板电器,-1
25869,老板电器的业绩增速放缓并非没有预兆,老板电器,-1
25878,老板电器的专卖店也仅为2864家，两者相差无几,老板电器,-1
25895,而智能家居不仅需要多产品来实现协同效应，还需要大数据、云计算等的支撑，而老板电器的收入规模仅为70亿元左右，难以满足这些要求，未来或许会后继乏力,老板电器,-1
25949,定增股东浮亏超四成3月20日收盘，海翔药业的股价为5.69元/股，与最高7元/股的回购价格相差23%左右,海翔药业,-1
25985,而据*ST沈机业绩预告显示，*ST沈机预计前三季度亏损7.5亿元至8亿元，去年同期*ST沈机亏损7.98亿元，今年三季报再度预亏，上市公司“保壳”压力较大,ST沈机,-1
26028,其中，贵州茅台（600519，收盘价267.06元）被净卖出最多，达2.88亿元，而贵州茅台的股价也是下跌了2.63%,贵州茅台,-1
26095,尽管实现了营收、净利润双增长，但记者发现，光明乳业部分产品销售数据有所下滑,光明乳业,-1
26104,有业内人士指出，遭遇成长瓶颈的莫斯利安，正是光明乳业液态乳收入下降的主要原因,光明乳业,-1
26105,宋亮表示，光明乳业液态乳收入下降主要是常温液态乳销量下降，光明乳业在进行产品结构调整，从常温业务和低温业务并举，转为侧重低温业务，要把常温业务逐步调整掉，因此收入出现下降,光明乳业,-1
26106,在酸奶业务方面，光明乳业酸奶销量下降主要也在常温酸奶方面，因为在这一市场，其面临着伊利、蒙牛、君乐宝等企业的竞争,光明乳业,-1
26110,且跟伊利、蒙牛相比，光明乳业目前还缺少一个销售额过百亿的支撑性单品,光明乳业,-1
26125,截至发稿时，獐子岛方面未回应（ID：）的相关问题，但有媒介公司称将于3月16日至18日组织媒体前往獐子岛做集体采访,獐子岛,-1
26132,同年5月撤乡设镇；1987年6月獐子镇更名为獐子岛镇，并沿用至今；1992年大连獐子岛渔业集团、獐子岛渔业集团公司（以下简称“集团公司”）成立，獐子岛渔业总公司撤销；1998年大连獐子岛渔业集团公司改组成立大连獐子岛渔业集团有限公司，继续坚持集体所有制，实行规模化、集约化经营，吴厚刚任董事长兼总经理,獐子岛,-1
26154,当年10月，獐子岛公告称因遭遇“冷水团”，其底播虾夷扇贝大量死亡，造成8亿多元损失，这大约相当于獐子岛一年的扇贝产值，接近2013年獐子岛营收总额的三分之一，是2013年净利润的10倍左右,獐子岛,-1
26155,獐子岛群众和獐子岛公司内部员工纷纷向媒体反映，獐子岛存在播苗造假、提前采捕、公司管理不善等问题，正是这些人为因素导致虾夷扇贝产量降低，而并非“冷水团”,獐子岛,-1
26156,但最终，该事件在人们的一片质疑声中，等来了最终的结论：獐子岛虾夷扇贝死亡确系“冷水团”所致,獐子岛,-1
26158,“冷水团”事件后，有獐子岛集团负责播采购和播种虾夷扇贝苗的员工被判刑，而此前负责购苗和播苗的吴厚刚的弟弟吴厚记离开了集团公司,獐子岛,-1
26159,这让一直被荣誉缠身的獐子岛群众第一次感到羞耻,獐子岛,-1
26160,受“冷水团”事件的影响，2014年獐子岛亏损11.89亿元,獐子岛,-1
26174,而参加2017年秋季扇贝抽测和冬季海洋牧场调研的一位投资者代表称，獐子岛欺骗投资者代表，并利用投资者代表为獐子岛背书,獐子岛,-1
26178,但獐子岛方面分别否定了媒体对獐子岛不利的报道,獐子岛,-1
26179,而值得一提的是，在整个事件过程中，獐子岛面对媒体的采访多以不接电话、不回短信的方式，拒绝与媒体沟通,獐子岛,-1
26188,“谁能保证短时间内，獐子岛不会再遭受自然灾害，如果再来一次自然灾害，獐子岛能扛得起吗,獐子岛,-1
26312,作为一家重工业企业，2008年开始，*ST沈机的经营业绩持续下滑，2012年至去年的5年间，扣非净利润连亏五年,ST沈机,-1
26318,2016年*ST佳电亏损4.37亿元,ST佳电,-1
26376,其申请书中的主要事实与理由如下：也就是说，因为一笔3500万元的借款，高金科技就向威海中院申请*ST东数破产，这个“前任”可就有点不那么岁月静好了,ST东数,-1
26379,自2012年-2016年，公司的扣非净利润连亏5年，2016年，*ST东数营收1.68亿元，同比下降27.22%，净利润亏损2.33亿元，而2015年，*ST东数也亏损2.12亿元,ST东数,-1
26386,数据显示，华夏人寿中报中共持有8.45亿股，持股市值达到248.67亿元，其中仅中国平安的持股市值就达到226.23亿元,中国平安,-1
26426,对于乌龙指，证监会一般不会加以处罚，因为这可以归结为意外，光大证券乌龙指事件被处罚的原因也不是上午的乌龙指推动股市大幅上涨，而是中午不承认是自己的乌龙指，下午还利用他人不知道实情，自己在高位开立大量的股指期货空单造成他人的亏损，构成了内幕交易,光大证券,-1
26442,西安饮食长期亏损的原因在于——低毛利率的背景下，公司的人力资源成本居高不下，且年年上涨,西安饮食,-1
26448,《每日经济新闻》记者研究发现，在全资子公司爱奥乐收购次年业绩急速下滑的同时，宜华健康颇为倚重的互联网医院项目也不如预期，公司一度将参股公司友德医摆上“货架”,宜华健康,-1
26474,以定增亏损幅度居前的为例，去年5月20日，平安银行以每股16.7元的价格实行增发，最新数据显示，平安银行收盘价仅有10.22元，亏损幅度高达38.8%，wind数据显示，吉渊投资定增1号、吉渊投资定增2号两只私募基金合计获配14371万股，投资金额高达23.99亿元，而查阅该公司官网发现，自去年7月31日后股灾之后，该公司旗下定增产品净值便再无更新，如果按照目前亏损幅度38.8%来计算，仅仅一年，该公司旗下定增产品亏损金额超过9亿元,平安银行,-1
26476,以“定增王”财通基金为例，该公司去年获配国金证券定增股数量高达3711.61万股，在所有机构投资者获配数量居首，共计投入金额高达8.91亿元，而最新数据显示，国金证券股价为12.23元/股，相比去年5月实施的定增价，股价亏损幅度高达49.04%，财通基金浮亏金额约达4.5亿元，短短一年之隔，4亿多资金灰飞烟灭,国金证券,-1
26477,以破发率最高的芭田股份为例，东财choice数据显示，芭田股份于去年5月25日牛市高点时期停牌，之后停牌时间长达近2个月，7月22日实施定增增发上市，增发价格高达28.73元，7月28日芭田股份复牌后，虽然躲过第一轮“股灾”，但仍遭遇市场用脚投票，复牌后的芭田股份连续遭遇5个跌停，在短短8个交易日内，股价从26.12元跌到13.89元，然而，经过短暂的盘整之后，股灾之后还有十八层地狱，第二轮股灾该公司股价再遇“腰斩”，随短短一个月左右的时间，芭田股份的股价跌去近70%,芭田股份,-1
26511,2016年四季度，网宿科技股价大幅跳水，从70元附近跌至2016年12月30日的53.61元，而盖茨基金在此时点又进行了小幅加仓，不知是否在三季度高位减持后，认可了网宿科技调整后的股价和经营业绩并进行了低位建仓呢,网宿科技,-1
26530,'编者按：ST常林今日起复牌并撤销其他风险警示，股票简称正式变更为,ST常林,-1
26562,据上市公司描述，此债务系颜华涉嫌伪造华昌达公章、董事会决议、法定代表人印章骗取贷款所为，与上市公司无关，华昌达已向公安机关进行了报案并已公告,华昌达,-1
26619,至21日收盘，温氏股份市值缩水至1028亿元，而2015年底其上市首日，市值一度突破2700亿元,温氏股份,-1
26634,此前豪赌乐视网的融资客用脚投票，6日大跌至今，乐视网遭遇高达7亿元的融资偿还，拖累融资盘累计下跌近3亿元,乐视网,-1
26665,此后，任氏家族悄然遁走，万安科技2015年三季报中已经没有他们的身影,万安科技,-1
26675,即便是监管层已经于4月份披露了针对任氏家族违规行为的行政处罚决定书，华西股份4月末的2016年1季报对此的表述依旧没有变化,华西股份,-1
26707,神雾节能今日再跌超8%,神雾节能,-1
26715,拉卡拉2016年重组置入西藏旅游的交易终止后，联想控股以另外一种方式“来到”西藏旅游,西藏旅游,-1
26764,将大股东所持1%股份强制平仓，此外，华安证券起诉该公司大股东违反股票质押协议,华安证券,-1
26802,2016年证监会否决商业城重组案的表述仍堪回味：申请材料显示上市公司权益存在被控股股东或实际控制人严重损害且尚未解除情形，且标的公司的持续盈利能力具有重大不确定性,商业城,-1
26810,原告认为，商业城未向舒勇提供明确、最终的股权转让价格等交易条件，且不顾原告行使优先购买权的明确表示，将股权转让给茂业商厦，侵害舒勇的优先购买权,商业城,-1
26851,但在此期间，“苏泊尔集团”证券账户通过二级市场频繁买卖“苏泊尔”股票，违反了《证券法》相关规定,苏泊尔,-1
26852,对此，浙江证监局决定对苏泊尔集团给予警告,苏泊尔,-1
26912,2月5日万科公告出包含给独董加薪的薪酬议案后，有部分市场人士质疑万科给独董加薪是否与此前刘姝威炮轰宝能存在关联,万科,-1
26940,文章作者“小员工”，自称在公关公司蓝色光标工作两年，控诉蓝色光标为了达到不用付出成本补偿员工的目的，使出威胁、恐吓等手段迫使员工主动离职,蓝色光标,-1
26951,2015年，蓝色光标在大举并购中受挫，公司规模迅速扩大，但相关项目尚未盈利,蓝色光标,-1
26958,而年初以来，海南椰岛的麻烦事儿可不止这一件，此前还因增持计划公布后8个月未见实施，而收到上交所的问询函,海南椰岛,-1
26961,2017年的亏损几乎已成既定事实，而2016年度海南椰岛亏损3525.01万元,海南椰岛,-1
